id,slug
ead3c832-83ac-4764-9572-fa077e0e268a,abass-agboworin
795f61ce-409f-445a-bfac-01657f7d1b35,abbdul-kadril
b2a7f72a-9ecf-4263-83f1-cb0f8783053c,abdukadir-rahis
b25d4b6f-f2a3-449c-b117-61bb2431f978,abdul-yakubu-shehu
7ed43dcb-3a3d-452b-a6be-6e941ec9563c,abdulahhi-hassan
808db956-d96a-4034-a826-32b998b01059,abdulganiyu-cook-olododo
138a0c5c-4c65-4589-af39-00afa6f14455,abdulkarim-usman
b260feda-9502-4a49-9d70-b79e46d99351,abdullahi-garba
0f7667ab-c4c8-4026-bd3d-510724d21495,abdullahi-lado-abubakar
0a43279f-4250-4e35-91d7-b6bcb4d62701,abdullahi-mahmud-gaya
a84eae66-557e-460d-b648-ab7fb5774484,abdullahi-umar-kamba
dfeacf04-9bd5-4f12-8440-2cb91b58ac9a,abdulmumin-jibrin
ed99aba9-a870-48f5-a361-9402fce8d114,abdulmumin-muhammed
da0e75c4-2508-4159-9507-9dd3345e579f,abdulrauf-modibbo
8643dbb1-57e4-4c5a-a34d-dcc76eb18a0c,abdulrazak-namdas
8138cfe8-94d2-44cd-a82c-761002e91aa1,abdulyekeen-alajagusi
58a2855c-7b99-4837-b234-deed1fc2404a,abubakar-dahiru
42e1161b-b7b5-48c3-b63c-6f5f0c88cd84,abubakar-faggo-kani
437da0e2-a10e-45b2-9448-ae224cd046f1,abubakar-hassan
a13b0d31-cad2-49fa-9173-ee030984aca3,abubakar-hassan-bala-iii
7df18781-b1cf-469f-90f0-9f91ccd943d8,abubakar-muhammed
18aeeec7-7a37-4eef-9941-ac43134e6bbc,abubakar-yahaya-kusada
e05c5249-ab7a-4938-8e26-8270eb47f466,abubakar-yalleman
bc68f36a-5559-4fd2-b426-b846d6bdb347,abubakar-yerima
a4683308-694e-4907-8eca-a6a968d9f3b8,adamu-muhammadu
125951b9-0626-428a-81d7-8111846cb5bf,adejare-samuel
fbcb84b1-363f-4141-90b9-44f87054554c,adejoro-adeogun
dbbb2782-d52b-4594-8150-d98f73ad776e,adekoya-adesegun
5cd51995-f612-49bb-9f5d-7f12199adc7d,adelegbe-timileyin
77e887ac-e9d6-46e6-8005-3b868b191617,alhassan-ado-garba
96e27d03-5157-4b6b-ae04-467aedf6901e,ado-kiri
b63eb312-a5d0-4501-9e89-0e519925e871,afolabi-rasheed-olalekan
868498bd-2a23-4477-96b9-17bf0dbf96ae,agom-jarigbe
d7888095-577c-48af-861c-92b950bda302,ahehu-aliyu-a
98d81f49-2256-4907-964a-017508bec6e2,ahmad-abdulahhi
83488dec-f6da-431b-99d6-0c56051a59d1,ahmad-dayyabu-safana
393b46c8-eaae-45b4-835d-14c242b4cea6,ahmadu-jaha
47811131-4d55-4609-99a1-4b3c5dcf59ce,ahmed-bakura
6d39bb96-cdc2-4677-8164-4a4fc291bc3a,ahmed-idris-maje
85961c95-a6e5-4548-a875-5f5fb64cb639,ahmed-ndakenne
2c3b9de0-5e21-45d1-a281-c6eb0a0ad0a7,aishatu-dukku
a038a9a0-3752-40cd-80ab-0cb42be9c973,aisowieren-patrick
eb6c27a4-abfb-4cf4-b7f9-aa2d6261fee4,ajao-jacob-adejumo
0f93dd6c-d946-410c-91f0-4e95c4e635ce,ajibola-saubana
e237a916-3cae-4ae6-8e99-c282ee41eda4,ajilesoro-abimbola
5930bf13-221b-4b11-90ae-154cabd61af8,akeem-adeyemi
8e65e183-9e14-4029-b68b-4fa8a35d6179,akinfolarin-mayowa
6ed88387-3037-4f93-8ccb-b75334ced32a,akinola-adekunle-alabi
ef5d8008-d497-4de5-a69d-9ca8c8ffb7fb,akintola-oluokun-goeorge
cc6f6839-f704-4d4e-95f5-7194daa9473e,akiolu-moshood
a526c57d-09d5-4230-97fd-f1cf98b359dc,jerry-alagbaso
1838da97-8608-439a-a464-8aeb2c88dd3a,alhaji-fatihu-muhammed
ac7576bc-f405-43e5-9bd3-c5cbc3a3ab90,alhaji-hassan-sokodabo
4d5ff48b-4f77-4c57-a325-111fe54ed351,ali-abdullahi-ibrahim
daf17dab-da45-4d59-96a0-7724575ba78f,ali-adeyemiyusuf
9cb0fa3f-13da-4444-b571-a38a4e0c4524,aliyu-betara-muktar
325bd2e4-47f0-4f59-a49f-1aefc63074fa,aliyu-ibrahim
81b4c2c8-42cf-440a-930e-dbd3942db674,amadu-usman
3b78b18c-75cd-486f-905b-ee1291ff95c5,aminu-ashiru
98615618-8f3a-4f5a-899a-9dd1275d9114,malle-ibrahim-aminu
6849db26-474d-46f1-8bc1-6c29e542d364,aminu-suleiman
bac204cb-8587-4fce-adc8-8ca860aa5736,amirudinn-tukur
9f46c1a1-2750-41d1-a649-c0f1a04a0251,aniekan-john
4af344ed-9c6e-4cb4-8976-1e1ae0652cf0,armayau-abdulkadir
4ed9bbb2-f088-47ea-9320-6a09b91125bb,asadu-patrick-oziokoja
e8f3081e-2f66-408f-bc0b-7bb9f4d93ba7,awaji-inombek-abiante
4249a8e9-86e2-4019-a2d7-8a4d77462683,ayika-valentine
e5c64ded-fbca-42d0-903e-44618f4964bf,babajimi-benson
21dca5ec-f427-4241-80fe-ca4c1d5701b9,babangida-alhassan-yakudima
bfacc136-b4e0-4021-9c71-5ab1dc45dd74,ibrahim-babangida
66f6fec5-d6fc-4e5c-9b69-99165a20fc74,babatunde-hunpe
75824414-7ee6-48d5-bfe5-03e809eb3c7a,badamasi-ayuba
516b8398-9b33-473c-aaca-9526f8c32ecb,balarbe-salam
a3c471d3-ec8f-4d34-9144-05859cf1545b,balogun-adebayo
598edd67-ac85-4fa6-a1ed-dd22136f543d,bamisile-olufemi-richard
1e7cd05c-9a4c-4488-89c2-c0199f64abab,barwa-shehu
d8d33dee-3dea-44a4-aacd-914993bb9fd5,bashher-isah
2c83eb76-563a-423d-ae96-7dca8f580854,bauchi-yaya
3abe9284-eb8d-473c-b002-4bb18139386b,bello-hassan-shinkafi
ed99cd96-6b23-4cd5-bc11-968895074e04,bello-joseph-asuku
08a57a7a-81d4-4e79-9d0c-ce6e0eb86327,bello-kaoje
fa61b379-d04a-4b5c-a8f8-a48ccc6a951f,bello-usman
e2f9eb78-2719-4eed-a2cf-1f88ef447eb5,ben-igbakpa
59ca73d9-1f43-46c4-9069-498c5cfeed0a,beni-lar
9aabd3a5-41c5-41ed-b3f5-f9510e998afc,benjamin-bem
20bbabba-e961-407b-a305-246d0f44ff13,benjamin-kalu
29f1529a-85cc-4670-a068-2977801959f1,blessing-onuh
7b93348e-4294-43a1-a6b2-5f32e478ad38,bolaji-ayinla
52dcce3e-2e55-4787-baea-bd99df917e91,chawai-muktar
e640492d-54e1-4bb2-8779-472fc4877b24,chinda-kingsley
dd07dfc7-2278-4d1a-a358-c683e932b6c7,chinedu-obidigwe
a23dc281-cc30-47a3-8b34-c23efd1ee7fe,chinedu-ogah
57ee5de1-0bfa-4d19-afd2-616fc1bdc142,chinyere-igwe
95ecc5b3-2e19-4487-afe9-a3634756eec7,chisom-dike
bd3ce3b6-9eb9-46a1-baf2-503e6f6a4858,chris-azubuogu
e48fa637-1ddc-45e4-acaa-21a14127a330,chu-chu-onyema
8cff447f-731f-4f06-9b5c-501bbc5e96ee,chukwu-egbo-ofor-gregory
2112408c-3908-409b-826a-52fa59654163,chukwuma-nwazunku
5e2606cd-b5f2-4ee3-8b21-1df1da1946f4,cornelius-nnaji
a89293ca-bd79-4d63-9c76-7fce11858fe3,dachung-musa
7a4431bb-9608-4753-8d11-809a65480930,dagogo-doctor-farah
692c14c1-07cd-4bc7-bb09-0ade6b2b2f57,danladi-baidu
c559cabf-04e8-468f-bc84-c3d52daf0e69,darlington-nwokocha
2c2ee457-759b-418f-9066-0692b0bc7549,david-abel
b1014d95-d77c-4c2f-853d-10a02b4d0a15,david-zachariah
31426ea1-af14-4992-a00e-6f0b4b426ba2,dawodu-bashiru
a1fde7e8-6b68-4e69-9b87-f6d12b26cf88,dennis-amadi
7967e11f-6c84-4f6e-a68b-c52e73baba22,dennis-idahosa
d3557568-295b-48c2-8d9f-7d6b0753a48a,yakubu-dogara
d39097f2-23b2-4ba0-90cd-9fd753a023c3,dumnamen-dekor
d7d9a7f3-972a-4ceb-9c97-a8787b86a673,edim-ata
7446df85-7895-4c1e-8431-28b8cf83f523,edwin-anayo
dce0a679-44be-4495-af22-1419b4f3b933,efe-afe
e708ad4d-7700-4557-a9bf-d832c0c3893a,daniel-effiong-asuquo
e680ec64-cd08-429b-8c48-9e2d2e7b2e60,egberongbe
4028a047-8154-4390-97c2-aba3c778d95c,egboma-alex
ff5b5a16-9243-4cc0-83fc-b4c97f44ce63,eke-bede
a8c1125c-30a1-4faf-82a9-12c1eb3922db,ekong-nsikak
395c7580-4078-44c5-98cd-445a371e1ffe,ekpenyong-nse
3772809b-716e-4b1b-a2c7-35f4c421f9a6,emeka-chimeziewas
fc9ddfb6-4ed4-4faf-bd1d-9da1572c56c5,emerengwa-boniface-sunday
b38be7cc-f229-4041-924c-7a6eb8cb0708,emmanuel-ukpong
89a9b077-29cd-49e2-a619-225c933d0d01,engr-abubakar-k-yusif
57dea5d6-8303-4bed-aa7f-9921165e4a0f,engr-magaji
74b1390d-39d3-4ce1-9ef4-8f7e7641d0df,enitan-badru
e0007b25-7ab3-48d6-9c62-d488a3998353,ephraim-nwuzi
b0e939a5-5889-4b76-b39d-21d1e21c937e,essien-ekpeyong-ayi
d1380eb2-87ec-46da-99df-27b2223e2a04,julius-olufemi-fakeye
765d47ff-a659-4faa-9fc7-d641fee30ac5,femi-gbajabiamila
b32bbfd7-7e44-45e3-b1e1-fb5cff750021,francis-charles-udoyor
c357c5ab-7621-4ae9-8cc2-72f1e8fb1ce1,francis-ottah-agbo
4aa3a1f8-6788-4acd-ab49-7108b92b187a,fred-agbedi
c30c00dc-f1c5-44f6-b42b-99be55b03589,fulata-abubakar
ad18391e-af84-43e2-8750-ce901a0a0924,gabriel-zock
f9d5e1e4-624d-4346-bda6-1be25337de08,ganiyu-abiodun
ba282346-4ec2-4712-9d47-d463d46da0f9,garba-datti-muhammad
b4b79722-4852-44ff-b485-762e83bf82df,garba-gololo
8ff5f0af-eaec-4e24-8896-eb41afbb9bd8,garba-hamman
75c372c3-d0ca-4286-92fc-c8cbad4acf58,garba-mohd-butalawa
e62ad765-bebf-4952-9814-629be886ceea,gaza-jonathan
d652233c-6c69-4d96-b270-3d8978731937,gibeon-goroki
68ad0d36-e750-4486-83b0-f887cc360c78,gideon-gwani
444cb260-f249-491e-86b4-716674892156,godday-samuel-ogagboyi
3d6ebde0-c55f-46eb-ad06-11cd39126915,gogo-bright-tamuno
66ac015c-1897-46e5-965d-1490ceed9800,goodhead-boma
d789bb2b-4644-4e01-b43d-6782a3882b9a,hafiz-kawu
ad7471c7-5a62-4b40-9461-8a7a7677fad1,hamed-muktar
d2f70c65-4dce-471f-901d-9153680fe7cc,hamisu-ibrahim
56a661b6-97b7-4803-870a-52c7b452245e,hamza-dalhatu
75f1298c-949d-41db-bdb3-ede6a5855e7e,hamza-ibrahim
51b17717-89bb-4fe5-b5c3-264cc4a2c623,haruna-isah-dederi
92ceea66-c686-40a2-846b-00a649c58f9f,haruna-mshelia
946deeec-db1f-46b5-9769-f894f5a2b870,hassan-yuguda
284c5ab4-af02-4a34-9e3d-23f8f53964a0,hembe-herman-iorwase
19333d94-5d10-4cb4-b94a-f919d6e090fa,henry-archibong
e5360427-1eee-4606-ada6-89ca337d3780,henry-nwawuba
e214e2b1-4555-4b24-8e0e-20756b28c34b,ibrahim-isiaka
c854f454-0a5c-4db0-b496-5baa6c7004bd,ibrahim-lawan
7bd2a315-5a9f-495b-a766-d534c429a0da,ibrahim-mabdullahi
9d55d114-a87b-48b4-bf64-bfc1e8da8dc0,ibrahim-shaaban-sharada
aa5db858-182d-4c7d-b9be-e81bfc57d204,ibrahim-umar
ec925d92-5d97-477c-8b2a-c49064e7ffdc,idagbo-ochiglegoor
8cc24ea0-7960-424e-b6c7-2f886057b775,idirisu-lawal-muhammadu
54898789-b7ed-4933-ad91-f26aae2cef42,iduma-igariwey
cb08398d-5d6e-44fa-abae-2207a19a52a4,ikengboju-gboluga
a55f6aa6-a537-4d8e-ac66-a030d49ddc9d,ikenna-elezianya
94c7f532-97bf-411b-ba64-7a4cc612b97b,irom-micheal
088dc3b4-e041-4ba2-a8be-ac9fe557e4c2,haruna-isah
b7267148-7b01-436a-bee2-3c754204918c,israel-goli
4082d3f3-a36e-4ae4-bd6d-f5f053e7a5c9,jafaru-muhammed
0116052b-c1a1-4053-89b2-a255e56f976d,james-abiodun-faleke
11b0606e-4b96-4228-9ee4-c78b653283c0,jimoh-jide-abdul
4f897ab1-e2e7-43a8-9ea9-d2b502cd10bf,jimoh-ojugbele
9cc34389-f391-42d9-b517-6722295afa64,jimoh-olaifa
40b6599d-8fcc-493d-aa1a-426581d49a40,john-dyegh
0e6c09f3-3b92-4bf4-9163-3175f142bbd8,johnson-oghuma
182dbeaa-91bb-4138-854a-e78f4cb44eaa,joseph-edionwole
4529351d-9ebf-4fc6-a1a9-54b7d4c338ec,jude-ise-idehen
af4fa3f9-3622-4b96-9c96-4a372d2cb7ef,julius-ihonvbere
2e89c133-7522-44b0-8808-a3ef1596265f,julius-pondi
b00403ed-02c3-4546-ae34-9612e8c86c5e,kabiru-alhassan-rurum
ac122878-de91-4c5e-83d2-616466ae8dd3,kabiru-amadu
30ff9c6e-b40c-4c4c-b1b4-93292d909609,kabiru-yahaya
c6115acd-13aa-4bd9-9fab-b2f0ab4dfed8,karu-elisha
b97f173d-2163-4f8a-9632-c857511ed427,kenneth-anayo-chikere
10412415-496c-41e8-9b7b-5bfec5e4e6f0,khadikja-bukar-ibrahim
dcc04e23-fd59-4c84-bea8-708a0a71cb72,kingsley-uju
538a9138-6404-418b-8860-5a554d99bd35,kokani-balla
5f91fdd0-b2a5-4b3e-b27f-a5f6a44d070d,kolawole-l-taiwo
b7524853-cd5a-4386-8682-d9a3e52e2878,kolawole-lawal
e2d842dd-2611-4252-92ed-8705a4983338,korede-osunsanya
dd1fb2a4-41cb-4011-b74b-f2abdc0fba1b,kpam-jimin
e713bb65-23a3-4c9f-85db-0a2e15f31f34,kuye-aliu
b0057850-1a94-4576-aa0f-ed300209bb12,kwamoti-laori
600df4cd-e2b0-42a1-b759-16f2c60f5086,lanre-edun
f59730dd-2d16-418c-828e-d41b17197b1c,lawal-kyan-kyan
52bb945b-2cfc-4182-9dbe-c13c00278893,lawrence-babatunde
6ef45c42-5422-4983-b22b-93a4638cb14f,lawwan-shetimma
316d0c81-0945-47d4-98fd-4698266e7672,leke-adejibe
9732b1be-0b73-4d5b-9106-ae55e5a55eb2,leonard-okuweh-ogor
53ca0ed2-5630-44c1-9645-159f6193da87,lere-suleiman-aliyu
1df05f2b-d521-4133-9b29-0c2a3edb58ac,longgap-komsol
f4452402-1021-4dfb-811e-e15196d25f42,lynda-ikpeazu
0d6f76cd-1b63-4608-b77f-a3000f07bfd3,maaruf-mai-sani
c8a97596-b88b-450a-b39a-484efc0d1abc,magaji-abubakar
36fa9fac-0aad-419e-b7ac-a6b69683b9ff,magaji-amos
2bb081df-6a09-4e39-a785-4a95ed5d59f7,maitala-haruna
d2b1a993-8c26-4118-92b2-f2e8f7cd44ee,makama-misau
f304b639-c291-4f5f-8b76-5d4fd1fdf583,makwe-livinus
592ef06d-3f36-4ee9-af26-946ce7ab9390,malam-mohammed-bio
003e0736-add0-4997-9444-94fac606bb95,mallam-gana
9e119fbc-702e-417d-8e5a-25e5c57109ef,mamudu-abdullahi
885688c5-b4f1-42d5-965d-d4dc836d56b1,mani-masiko
99096c3e-b1d1-48ba-84d5-f5e1391749b6,manniru-babba-danagundi
8da56b4d-0f29-4640-aee0-03eab6880c5c,mansur-mashi
d7e56ab0-17f1-47c7-8a5c-0711548c69b7,mansur-soro
93e50fab-06e9-4cf0-b24d-1af1141a06a1,mark-gbillah
59ce8e32-5621-4040-b455-0cc4b11ebe36,mela-victor
3433c601-d96d-42f5-ab4b-420b7546d242,micah-jiba
3d66c9cd-a1c0-42c0-b442-4d01539184e4,miohammed-saidu
86aae696-4a0c-4b9f-b43e-56253ce87c9f,mohammed-ali-wudil
b7ce7ac6-bb98-451f-bfb3-6b8688dbd615,mohammed-monguno
6894580b-4c33-487b-88cf-edf843d44d56,mohammed-sheu
e1ebf868-13ae-488a-b06d-973267ade5cd,momah-ifeanyi
251bb3c0-b09d-44aa-96e2-5febf714b234,mr-amobi-yunusa-akintola
9313f2ea-17be-4470-96bf-4b5e075d6f4d,muda-lawal
b11d585e-ee9c-404c-9ea0-e53adc97191d,muhammad-kazaure
1d162331-5c3d-4ccc-8711-28ef943bcba7,muhammd-jega
5f242eb6-9216-46a2-8ec7-95967192442e,muhammed-bello
b6635f31-1ce6-412c-a899-ec5933b720d5,muhammed-musa-pali
17c24323-fc52-474b-ae25-b223dcca3080,muktar-shehu-ladan
557d08dc-0bc1-4129-b082-6ac8b938978a,muntari-dandutse
356c08ec-a215-4f99-904a-3640b4cdf98a,murtala-isah
e0864697-871a-4fb3-bbdc-7c04219bb496,musa-sarkin-adar-kaffe
c632ebdb-d196-4c04-8e6f-d4094cc98dc7,musa-umar-gari
0e98e65d-e49b-4c35-99a1-495eaf13b9a2,musliudeen-olaide-akinremi
cf843d3a-89ef-4b1c-b286-ae49c5038b72,mustapha-dawaki-bala
e47703c9-e588-43f8-ac1a-a2ec993b44fe,nasir-abduwa
3627b4c4-8201-400a-a78a-ef2a75bb84bf,nasir-ali-ahmed
5ff2f8a2-7e20-4083-a740-b686a369bf86,nasiru-zangon-daura-sani
9fbcf4a6-114f-448b-93b2-15d0758bcc0b,nazifi-sani
4ed9a9f7-14af-4f1b-b715-685ef3d464d6,ndudi-elumelu
18e353f3-f57f-4646-bcd6-603cdda084c2,ngoro-agibe
726225dd-a03a-43b6-879a-414076ea6d27,nicholas-garba
7b2e15e0-94c3-4758-9ac8-316a8469e89e,mutu-nicholas-ebomo
f2556830-38db-4585-a8b6-7b511a9320e0,ossai-nicholas-ossai
821f87b4-905e-4d12-96f6-f453b5b6fbc5,uzoma-nkem-abonta
5e9ef108-bc3b-4a64-a052-daf7fed95a9f,nnaji-john
a56835dc-1d9c-4ff6-a0d5-cb2bb015d833,nnam-obi-prince-uchechukwu
25fe86cc-ff0c-47e9-a20b-5f0d545020cf,nwajuba-chukwuemeka
854914ca-daf5-459a-ab3f-7b3b740df540,obanikoro-ibrahim
7d2e4a02-5653-4bc0-bfc7-6cb53a0f4aa7,obinna-chidoka
35156b24-e5b1-4721-afdb-74dcb7d05293,obua-fred
c89fa63c-b8e9-4733-85a7-2b2ce46cfa83,ogbeide-ihama-omoregie
4ef095c9-3402-4491-afce-59be3ad36187,oghene-emmanuel
a47175bb-4cb6-4058-bac7-b2caee31d659,ogunlola-omowumi
260593f3-76a9-4df0-999a-25cc14cd066b,peter-ohiozoje-akpatason
be9d9c38-c10a-47aa-baf8-910e81016c33,ojerinde-olumide-abiodun
ac855a7d-9d91-44eb-86fd-851654de5187,oke-martins
902ca577-525c-46bb-8677-718d0e32ded5,oke-oluwole
c7e9c2f7-02b2-43e9-a57d-42f54c7e01c7,okon-micheal
bc8df2b7-2881-4ec4-bf3e-3631fa1ee35e,okwudili-ezenwanko
2ed2a5b2-882f-499d-9962-2ffc9a9e4555,olajide-olatubosun
94cc7d18-768b-4e0b-ad68-45ac53e1cf32,olanrewaju-kunle
dab9495a-6809-42df-8d83-bd0d45aea504,olawuyi-abdulraheem
2d20ed5e-112b-45f5-8dad-5bc26c71612d,olubukola-oyewo
570cc7f7-0c6a-4348-8d16-f5d580093474,olubunmi-tunji-ojo
965f94df-c963-486d-9437-a0d5e2a24e88,olufemi-adebanjo
ccb34124-1bff-4181-97ed-91b0648449d3,olumide-osoba
b4c80409-374c-4429-8f08-a2a60bfa3c17,olusegun-dokun-odebunmi
c14f9e8b-fa61-47fd-bea8-de476895373a,oluwarotimi-agunsoye
1a3d477f-10fe-4727-9212-d312e03bd55f,omar-tata
59848f24-327f-44d3-8086-1f1fd0f0772e,omolafe-isaac
f001f422-8c53-4b2e-8f3d-949ed47cb006,onofiok-luke
263a0317-b05a-414e-a774-82b700ce07b8,onwubuariri-kingsley-obinna
b7a2ac57-9d18-4e5d-a177-e41a99fc83a2,nkiruka-onyejeocha
db46a851-d314-47cd-85ce-954fc49a1095,oriyomi-onanuga
2d5472ed-c775-4af9-9277-87c97ed667b4,ossy-chinedu-prestige
9956dd18-99d1-4bec-b569-282fe1c49063,owolabi-adisa-james
709bd74e-5a24-4349-a39a-2d9898443c97,owolabi-peter
30265162-65b9-48b4-bf04-19b89a17e5f4,pascal-obi
e2d23059-df3b-45c7-a748-198bdd3d86ec,patrick-ifon
f4347186-6059-4c69-a985-81356618d64c,peter-abiola
aa60a97d-b7d4-4fdc-b7b6-2aadc5fe0d14,preye-influence
f9299f28-11b7-4ebd-82ed-39a85392866b,rev-francis-waive
4f331468-18f3-4701-8612-40851ad3f180,richard-gbande
3438649a-0572-4d86-b47c-42b2bdcbd46a,rima-kwewum
e862f7a1-f4bf-4fdb-aa24-fb451ab3349b,sada-soli-jibiya
d9b26731-6e74-4896-bedc-e924590fbe13,saidu-miga
cc1893ed-9789-4c02-9aad-f8cabd8d45d1,saidu-musa-abdullahi
25a3f6e9-4fdd-4c2c-aa8e-6a597a83bb3e,saidu-mustapha
9cc08263-708f-4f0e-8b93-8d599044d770,salam-bamidele
87132e65-8a38-4cc6-a3ca-e931eb8ac85a,saleh-rijah-shehu
395c9c9f-2728-4b9f-85db-792dd7925931,salisu-isansi
2d552fa8-a422-4cbb-80bf-6cc262072239,sam-onwuaso
c384ef95-3c26-456d-a5cd-a609e02d311d,samaila-suleiman
a9430265-26d9-41c9-ab9d-7686f5eda917,samson-okwu
e0167e52-a98b-44db-a385-e3c5b33c2969,samuel-ifeanyi-onuigbo
763b937d-40c9-4510-baca-f5dafd339965,sani-baya-umar
4ce50863-6563-49d2-b374-3fc1093d83c2,satomi-ahmed
e01dd914-0d13-4db4-bb54-a5a88b93a5be,sergius-ogun
d767cf00-1018-4323-a481-9ee9983b3564,shamsudeen-dambazau
